ODS,Year,Variable,Value
RWR,2015,Food,0.8415
RWR,2015,Organisation Food,
RWR,2015,Ward Food,
RWR,2015,"Privacy, Dignity and Wellbeing",0.8881
RWR,2015,Condition Appearance and Maintenance,0.8871
RWR,2015,Dementia,0.8557
RWR,2015,Disability,
RQQ,2015,Cleanliness,0.9927
RQQ,2015,Food,0.932
RQQ,2015,Organisation Food,
RQQ,2015,Ward Food,
RQQ,2015,"Privacy, Dignity and Wellbeing",0.9301
RQQ,2015,Condition Appearance and Maintenance,0.9298
RQQ,2015,Dementia,0.8138
RQQ,2015,Disability,
RQX,2015,Cleanliness,0.9127
RQX,2015,Food,0.7912
RQX,2015,Organisation Food,
RQX,2015,Ward Food,
RQX,2015,"Privacy, Dignity and Wellbeing",0.7536
RQX,2015,Condition Appearance and Maintenance,0.7707
RQX,2015,Dementia,0.4931
RQX,2015,Disability,
RY9,2015,Cleanliness,0.9959
RY9,2015,Food,0.9334
RY9,2015,Organisation Food,
RY9,2015,Ward Food,
RY9,2015,"Privacy, Dignity and Wellbeing",0.9524
RY9,2015,Condition Appearance and Maintenance,0.9627
RY9,2015,Dementia,0.8631
RY9,2015,Disability,
RWA,2015,Cleanliness,0.9578
RWA,2015,Food,0.9384
RWA,2015,Organisation Food,
RWA,2015,Ward Food,
RWA,2015,"Privacy, Dignity and Wellbeing",0.8064
RWA,2015,Condition Appearance and Maintenance,0.8049
RWA,2015,Dementia,0.4962
RWA,2015,Disability,
RV9,2015,Cleanliness,0.9931
RV9,2015,Food,0.9334
RV9,2015,Organisation Food,
RV9,2015,Ward Food,
RV9,2015,"Privacy, Dignity and Wellbeing",0.8897
RV9,2015,Condition Appearance and Maintenance,0.9092
RV9,2015,Dementia,0.7422
RV9,2015,Disability,
RYJ,2015,Cleanliness,0.986
RYJ,2015,Food,0.8607
RYJ,2015,Organisation Food,
RYJ,2015,Ward Food,
RYJ,2015,"Privacy, Dignity and Wellbeing",0.7839
RYJ,2015,Condition Appearance and Maintenance,0.8676
RYJ,2015,Dementia,0.676
RYJ,2015,Disability,
RGQ,2015,Cleanliness,0.9519
RGQ,2015,Food,0.8476
RGQ,2015,Organisation Food,
RGQ,2015,Ward Food,
RGQ,2015,"Privacy, Dignity and Wellbeing",0.8234
RGQ,2015,Condition Appearance and Maintenance,0.7871
RGQ,2015,Dementia,0.6118
RGQ,2015,Disability,
R1F,2015,Cleanliness,0.9701
R1F,2015,Food,0.8457
R1F,2015,Organisation Food,
R1F,2015,Ward Food,
R1F,2015,"Privacy, Dignity and Wellbeing",0.8667
R1F,2015,Condition Appearance and Maintenance,0.9143
R1F,2015,Dementia,0.7577
R1F,2015,Disability,
RGP,2015,Cleanliness,0.9847
RGP,2015,Food,0.8949
RGP,2015,Organisation Food,
RGP,2015,Ward Food,
RGP,2015,"Privacy, Dignity and Wellbeing",0.7636
RGP,2015,Condition Appearance and Maintenance,0.8803
RGP,2015,Dementia,0.6792
RGP,2015,Disability,
RXY,2015,Cleanliness,0.9925
RXY,2015,Food,0.9034
RXY,2015,Organisation Food,
RXY,2015,Ward Food,
RXY,2015,"Privacy, Dignity and Wellbeing",0.9138
RXY,2015,Condition Appearance and Maintenance,0.9388
RXY,2015,Dementia,0.9009
RXY,2015,Disability,
RYY,2015,Cleanliness,0.9747
RYY,2015,Food,0.9076
RYY,2015,Organisation Food,
RYY,2015,Ward Food,
RYY,2015,"Privacy, Dignity and Wellbeing",0.8184
RYY,2015,Condition Appearance and Maintenance,0.8907
RYY,2015,Dementia,0.5769
RYY,2015,Disability,
RNQ,2015,Cleanliness,0.9125
RNQ,2015,Food,0.8089
RNQ,2015,Organisation Food,
RNQ,2015,Ward Food,
RNQ,2015,"Privacy, Dignity and Wellbeing",0.7323
RNQ,2015,Condition Appearance and Maintenance,0.8058
RNQ,2015,Dementia,0.6757
RNQ,2015,Disability,
RJZ,2015,Cleanliness,0.9723
RJZ,2015,Food,0.8886
RJZ,2015,Organisation Food,
RJZ,2015,Ward Food,
RJZ,2015,"Privacy, Dignity and Wellbeing",0.7914
RJZ,2015,Condition Appearance and Maintenance,0.8762
RJZ,2015,Dementia,0.7121
RJZ,2015,Disability,
RAX,2015,Cleanliness,0.9501
RAX,2015,Food,0.9368
RAX,2015,Organisation Food,
RAX,2015,Ward Food,
RAX,2015,"Privacy, Dignity and Wellbeing",0.9052
RAX,2015,Condition Appearance and Maintenance,0.9028
RAX,2015,Dementia,0.4789
RAX,2015,Disability,
RW5,2015,Cleanliness,0.9811
RW5,2015,Food,0.8907
RW5,2015,Organisation Food,
RW5,2015,Ward Food,
RW5,2015,"Privacy, Dignity and Wellbeing",0.8813
RW5,2015,Condition Appearance and Maintenance,0.8634
RW5,2015,Dementia,0.813
RW5,2015,Disability,
RXN,2015,Cleanliness,0.9994
RXN,2015,Food,0.9267
RXN,2015,Organisation Food,
RXN,2015,Ward Food,
RXN,2015,"Privacy, Dignity and Wellbeing",0.9026
RXN,2015,Condition Appearance and Maintenance,0.9742
RXN,2015,Dementia,0.6848
RXN,2015,Disability,
RGD,2015,Cleanliness,0.9732
RGD,2015,Food,0.8557
RGD,2015,Organisation Food,
RGD,2015,Ward Food,
RGD,2015,"Privacy, Dignity and Wellbeing",0.9117
RGD,2015,Condition Appearance and Maintenance,0.9292
RGD,2015,Dementia,0.8325
RGD,2015,Disability,
RY6,2015,Cleanliness,0.9956
RY6,2015,Food,0.9365
RY6,2015,Organisation Food,
RY6,2015,Ward Food,
RY6,2015,"Privacy, Dignity and Wellbeing",0.943
RY6,2015,Condition Appearance and Maintenance,0.947
RY6,2015,Dementia,0.964
RY6,2015,Disability,
RR8,2015,Cleanliness,0.9931
RR8,2015,Food,0.935
RR8,2015,Organisation Food,
RR8,2015,Ward Food,
RR8,2015,"Privacy, Dignity and Wellbeing",0.8835
RR8,2015,Condition Appearance and Maintenance,0.9398
RR8,2015,Dementia,0.7638
RR8,2015,Disability,
RT5,2015,Cleanliness,0.9742
RT5,2015,Food,0.8316
RT5,2015,Organisation Food,
RT5,2015,Ward Food,
RT5,2015,"Privacy, Dignity and Wellbeing",0.8447
RT5,2015,Condition Appearance and Maintenance,0.8087
RT5,2015,Dementia,0.7101
RT5,2015,Disability,
RY5,2015,Cleanliness,0.934
RY5,2015,Food,0.8057
RY5,2015,Organisation Food,
RY5,2015,Ward Food,
RY5,2015,"Privacy, Dignity and Wellbeing",0.7955
RY5,2015,Condition Appearance and Maintenance,0.7564
RY5,2015,Dementia,0.6768
RY5,2015,Disability,
RP7,2015,Cleanliness,0.9837
RP7,2015,Food,0.8414
RP7,2015,Organisation Food,
RP7,2015,Ward Food,
RP7,2015,"Privacy, Dignity and Wellbeing",0.8785
RP7,2015,Condition Appearance and Maintenance,0.898
RP7,2015,Dementia,0.9259
RP7,2015,Disability,
RY1,2015,Cleanliness,0.982
RY1,2015,Food,0.9573
RY1,2015,Organisation Food,
RY1,2015,Ward Food,
RY1,2015,"Privacy, Dignity and Wellbeing",0.9162
RY1,2015,Condition Appearance and Maintenance,0.9229
RY1,2015,Dementia,0.8818
RY1,2015,Disability,
RBQ,2015,Cleanliness,0.9841
RBQ,2015,Food,0.986
RBQ,2015,Organisation Food,
RBQ,2015,Ward Food,
RBQ,2015,"Privacy, Dignity and Wellbeing",0.8763
RBQ,2015,Condition Appearance and Maintenance,0.9643
RBQ,2015,Dementia,0.8732
RBQ,2015,Disability,
REP,2015,Cleanliness,0.9994
REP,2015,Food,0.9255
REP,2015,Organisation Food,
REP,2015,Ward Food,
REP,2015,"Privacy, Dignity and Wellbeing",0.8219
REP,2015,Condition Appearance and Maintenance,0.9331
REP,2015,Dementia,0.7742
REP,2015,Disability,
R1K,2015,Cleanliness,0.9358
R1K,2015,Food,0.8058
R1K,2015,Organisation Food,
R1K,2015,Ward Food,
R1K,2015,"Privacy, Dignity and Wellbeing",0.6641
R1K,2015,Condition Appearance and Maintenance,0.8125
R1K,2015,Dementia,0.61
R1K,2015,Disability,
RC9,2015,Cleanliness,0.9699
RC9,2015,Food,0.8083
RC9,2015,Organisation Food,
RC9,2015,Ward Food,
RC9,2015,"Privacy, Dignity and Wellbeing",0.8359
RC9,2015,Condition Appearance and Maintenance,0.7998
RC9,2015,Dementia,0.6304
RC9,2015,Disability,
RWF,2015,Cleanliness,0.9898
RWF,2015,Food,0.9151
RWF,2015,Organisation Food,
RWF,2015,Ward Food,
RWF,2015,"Privacy, Dignity and Wellbeing",0.9101
RWF,2015,Condition Appearance and Maintenance,0.9235
RWF,2015,Dementia,0.891
RWF,2015,Disability,
RPA,2015,Cleanliness,0.9785
RPA,2015,Food,0.8528
RPA,2015,Organisation Food,
RPA,2015,Ward Food,
RPA,2015,"Privacy, Dignity and Wellbeing",0.7956
RPA,2015,Condition Appearance and Maintenance,0.819
RPA,2015,Dementia,0.6981
RPA,2015,Disability,
RW4,2015,Cleanliness,0.9506
RW4,2015,Food,0.8361
RW4,2015,Organisation Food,
RW4,2015,Ward Food,
RW4,2015,"Privacy, Dignity and Wellbeing",0.8868
RW4,2015,Condition Appearance and Maintenance,0.817
RW4,2015,Dementia,0.698
RW4,2015,Disability,
RQ8,2015,Cleanliness,0.9064
RQ8,2015,Food,0.8635
RQ8,2015,Organisation Food,
RQ8,2015,Ward Food,
RQ8,2015,"Privacy, Dignity and Wellbeing",0.7939
RQ8,2015,Condition Appearance and Maintenance,0.795
RQ8,2015,Dementia,0.5427
RQ8,2015,Disability,
RXF,2015,Cleanliness,0.9867
RXF,2015,Food,0.8608
RXF,2015,Organisation Food,
RXF,2015,Ward Food,
RXF,2015,"Privacy, Dignity and Wellbeing",0.8204
RXF,2015,Condition Appearance and Maintenance,0.8687
RXF,2015,Dementia,0.641
RXF,2015,Disability,
RD8,2015,Cleanliness,0.9753
RD8,2015,Food,0.8452
RD8,2015,Organisation Food,
RD8,2015,Ward Food,
RD8,2015,"Privacy, Dignity and Wellbeing",0.876
RD8,2015,Condition Appearance and Maintenance,0.937
RD8,2015,Dementia,0.7735
RD8,2015,Disability,
RP6,2015,Cleanliness,0.9865
RP6,2015,Food,
RP6,2015,Organisation Food,
RP6,2015,Ward Food,
RP6,2015,"Privacy, Dignity and Wellbeing",0.9242
RP6,2015,Condition Appearance and Maintenance,0.961
RP6,2015,Dementia,0.9087
RP6,2015,Disability,
RM1,2015,Cleanliness,0.9733
RM1,2015,Food,0.8997
RM1,2015,Organisation Food,
RM1,2015,Ward Food,
RM1,2015,"Privacy, Dignity and Wellbeing",0.9283
RM1,2015,Condition Appearance and Maintenance,0.9064
RM1,2015,Dementia,0.8362
RM1,2015,Disability,
RMY,2015,Cleanliness,0.9938
RMY,2015,Food,0.9284
RMY,2015,Organisation Food,
RMY,2015,Ward Food,
RMY,2015,"Privacy, Dignity and Wellbeing",0.9176
RMY,2015,Condition Appearance and Maintenance,0.9731
RMY,2015,Dementia,0.9552
RMY,2015,Disability,
RY3,2015,Cleanliness,0.995
RY3,2015,Food,0.9523
RY3,2015,Organisation Food,
RY3,2015,Ward Food,
RY3,2015,"Privacy, Dignity and Wellbeing",0.8539
RY3,2015,Condition Appearance and Maintenance,0.9103
RY3,2015,Dementia,0.786
RY3,2015,Disability,
RVJ,2015,Cleanliness,0.9306
RVJ,2015,Food,0.8335
RVJ,2015,Organisation Food,
RVJ,2015,Ward Food,
RVJ,2015,"Privacy, Dignity and Wellbeing",0.834
RVJ,2015,Condition Appearance and Maintenance,0.9327
RVJ,2015,Dementia,0.7349
RVJ,2015,Disability,
RNL,2015,Cleanliness,0.92
RNL,2015,Food,0.8444
RNL,2015,Organisation Food,
RNL,2015,Ward Food,
RNL,2015,"Privacy, Dignity and Wellbeing",0.8042
RNL,2015,Condition Appearance and Maintenance,0.7732
RNL,2015,Dementia,0.7232
RNL,2015,Disability,
RAT,2015,Cleanliness,0.9952
RAT,2015,Food,0.9542
RAT,2015,Organisation Food,
RAT,2015,Ward Food,
RAT,2015,"Privacy, Dignity and Wellbeing",0.8595
RAT,2015,Condition Appearance and Maintenance,0.8761
RAT,2015,Dementia,0.829
RAT,2015,Disability,
RRD,2015,Cleanliness,0.9899
RRD,2015,Food,0.8637
RRD,2015,Organisation Food,
RRD,2015,Ward Food,
RRD,2015,"Privacy, Dignity and Wellbeing",0.7941
RRD,2015,Condition Appearance and Maintenance,0.8846
RRD,2015,Dementia,0.8586
RRD,2015,Disability,
RAP,2015,Cleanliness,0.953
RAP,2015,Food,0.8651
RAP,2015,Organisation Food,
RAP,2015,Ward Food,
RAP,2015,"Privacy, Dignity and Wellbeing",0.7992
RAP,2015,Condition Appearance and Maintenance,0.9106
RAP,2015,Dementia,0.768
RAP,2015,Disability,
RLY,2015,Cleanliness,0.9967
RLY,2015,Food,0.961
RLY,2015,Organisation Food,
RLY,2015,Ward Food,
RLY,2015,"Privacy, Dignity and Wellbeing",0.9641
RLY,2015,Condition Appearance and Maintenance,0.9567
RLY,2015,Dementia,0.9059
RLY,2015,Disability,
RVW,2015,Cleanliness,0.9804
RVW,2015,Food,0.967
RVW,2015,Organisation Food,
RVW,2015,Ward Food,
RVW,2015,"Privacy, Dignity and Wellbeing",0.8742
RVW,2015,Condition Appearance and Maintenance,0.9648
RVW,2015,Dementia,0.8834
RVW,2015,Disability,
RNS,2015,Cleanliness,0.9978
RNS,2015,Food,0.903
RNS,2015,Organisation Food,
RNS,2015,Ward Food,
RNS,2015,"Privacy, Dignity and Wellbeing",0.9273
RNS,2015,Condition Appearance and Maintenance,0.9362
RNS,2015,Dementia,0.7979
RNS,2015,Disability,
RP1,2015,Cleanliness,0.9943
RP1,2015,Food,0.9243
RP1,2015,Organisation Food,
RP1,2015,Ward Food,
RP1,2015,"Privacy, Dignity and Wellbeing",0.905
RP1,2015,Condition Appearance and Maintenance,0.9556
RP1,2015,Dementia,0.9283
RP1,2015,Disability,
RBZ,2015,Cleanliness,0.9752
RBZ,2015,Food,0.8543
RBZ,2015,Organisation Food,
RBZ,2015,Ward Food,
RBZ,2015,"Privacy, Dignity and Wellbeing",0.8207
RBZ,2015,Condition Appearance and Maintenance,0.9048
RBZ,2015,Dementia,0.754
RBZ,2015,Disability,
RJL,2015,Cleanliness,0.9557
RJL,2015,Food,0.8609
RJL,2015,Organisation Food,
RJL,2015,Ward Food,
RJL,2015,"Privacy, Dignity and Wellbeing",0.8725
RJL,2015,Condition Appearance and Maintenance,0.854
RJL,2015,Dementia,0.4995
RJL,2015,Disability,
RX4,2015,Cleanliness,0.9929
RX4,2015,Food,0.8878
RX4,2015,Organisation Food,
RX4,2015,Ward Food,
RX4,2015,"Privacy, Dignity and Wellbeing",0.9239
RX4,2015,Condition Appearance and Maintenance,0.9128
RX4,2015,Dementia,0.8512
RX4,2015,Disability,
RTF,2015,Cleanliness,0.9973
RTF,2015,Food,0.9707
RTF,2015,Organisation Food,
RTF,2015,Ward Food,
RTF,2015,"Privacy, Dignity and Wellbeing",0.9535
RTF,2015,Condition Appearance and Maintenance,0.9643
RTF,2015,Dementia,0.954
RTF,2015,Disability,
RX1,2015,Cleanliness,0.9456
RX1,2015,Food,0.8928
RX1,2015,Organisation Food,
RX1,2015,Ward Food,
RX1,2015,"Privacy, Dignity and Wellbeing",0.7589
RX1,2015,Condition Appearance and Maintenance,0.8409
RX1,2015,Dementia,0.6352
RX1,2015,Disability,
RHA,2015,Cleanliness,0.9801
RHA,2015,Food,0.9094
RHA,2015,Organisation Food,
RHA,2015,Ward Food,
RHA,2015,"Privacy, Dignity and Wellbeing",0.9151
RHA,2015,Condition Appearance and Maintenance,0.9412
RHA,2015,Dementia,0.8394
RHA,2015,Disability,
RNU,2015,Cleanliness,0.9975
RNU,2015,Food,0.8976
RNU,2015,Organisation Food,
RNU,2015,Ward Food,
RNU,2015,"Privacy, Dignity and Wellbeing",0.8639
RNU,2015,Condition Appearance and Maintenance,0.9596
RNU,2015,Dementia,0.9109
RNU,2015,Disability,
RTH,2015,Cleanliness,0.9224
RTH,2015,Food,0.8046
RTH,2015,Organisation Food,
RTH,2015,Ward Food,
RTH,2015,"Privacy, Dignity and Wellbeing",0.7695
RTH,2015,Condition Appearance and Maintenance,0.8142
RTH,2015,Dementia,0.5834
RTH,2015,Disability,
RPG,2015,Cleanliness,0.9616
RPG,2015,Food,0.9189
RPG,2015,Organisation Food,
RPG,2015,Ward Food,
RPG,2015,"Privacy, Dignity and Wellbeing",0.9217
RPG,2015,Condition Appearance and Maintenance,0.9376
RPG,2015,Dementia,0.7457
RPG,2015,Disability,
RGM,2015,Cleanliness,0.9896
RGM,2015,Food,0.8619
RGM,2015,Organisation Food,
RGM,2015,Ward Food,
RGM,2015,"Privacy, Dignity and Wellbeing",0.7723
RGM,2015,Condition Appearance and Maintenance,0.8747
RGM,2015,Dementia,0.7484
RGM,2015,Disability,
RW6,2015,Cleanliness,0.9889
RW6,2015,Food,0.8785
RW6,2015,Organisation Food,
RW6,2015,Ward Food,
RW6,2015,"Privacy, Dignity and Wellbeing",0.9033
RW6,2015,Condition Appearance and Maintenance,0.9024
RW6,2015,Dementia,0.7614
RW6,2015,Disability,
RT2,2015,Cleanliness,0.9888
RT2,2015,Food,0.9014
RT2,2015,Organisation Food,
RT2,2015,Ward Food,
RT2,2015,"Privacy, Dignity and Wellbeing",0.9027
RT2,2015,Condition Appearance and Maintenance,0.922
RT2,2015,Dementia,0.8349
RT2,2015,Disability,
RGN,2015,Cleanliness,0.969
RGN,2015,Food,0.8334
RGN,2015,Organisation Food,
RGN,2015,Ward Food,
RGN,2015,"Privacy, Dignity and Wellbeing",0.9154
RGN,2015,Condition Appearance and Maintenance,0.9272
RGN,2015,Dementia,0.7803
RGN,2015,Disability,
RK9,2015,Cleanliness,0.9755
RK9,2015,Food,0.8804
RK9,2015,Organisation Food,
RK9,2015,Ward Food,
RK9,2015,"Privacy, Dignity and Wellbeing",0.8477
RK9,2015,Condition Appearance and Maintenance,0.8029
RK9,2015,Dementia,0.6953
RK9,2015,Disability,
RD3,2015,Cleanliness,0.9932
RD3,2015,Food,0.9513
RD3,2015,Organisation Food,
RD3,2015,Ward Food,
RD3,2015,"Privacy, Dignity and Wellbeing",0.9057
RD3,2015,Condition Appearance and Maintenance,0.9307
RD3,2015,Dementia,0.8631
RD3,2015,Disability,
RHU,2015,Cleanliness,0.9782
RHU,2015,Food,0.9215
RHU,2015,Organisation Food,
RHU,2015,Ward Food,
RHU,2015,"Privacy, Dignity and Wellbeing",0.9008
RHU,2015,Condition Appearance and Maintenance,0.9432
RHU,2015,Dementia,0.8178
RHU,2015,Disability,
RPC,2015,Cleanliness,0.992
RPC,2015,Food,0.8056
RPC,2015,Organisation Food,
RPC,2015,Ward Food,
RPC,2015,"Privacy, Dignity and Wellbeing",0.8241
RPC,2015,Condition Appearance and Maintenance,0.8738
RPC,2015,Dementia,0.6428
RPC,2015,Disability,
RL1,2015,Cleanliness,0.9938
RL1,2015,Food,0.842
RL1,2015,Organisation Food,
RL1,2015,Ward Food,
RL1,2015,"Privacy, Dignity and Wellbeing",0.8361
RL1,2015,Condition Appearance and Maintenance,0.8017
RL1,2015,Dementia,0.6851
RL1,2015,Disability,
RXE,2015,Cleanliness,0.947
RXE,2015,Food,0.8763
RXE,2015,Organisation Food,
RXE,2015,Ward Food,
RXE,2015,"Privacy, Dignity and Wellbeing",0.9229
RXE,2015,Condition Appearance and Maintenance,0.9137
RXE,2015,Dementia,0.7613
RXE,2015,Disability,
RHW,2015,Cleanliness,0.9938
RHW,2015,Food,0.9471
RHW,2015,Organisation Food,
RHW,2015,Ward Food,
RHW,2015,"Privacy, Dignity and Wellbeing",0.9147
RHW,2015,Condition Appearance and Maintenance,0.9754
RHW,2015,Dementia,0.8932
RHW,2015,Disability,
RT3,2015,Cleanliness,0.9666
RT3,2015,Food,0.8965
RT3,2015,Organisation Food,
RT3,2015,Ward Food,
RT3,2015,"Privacy, Dignity and Wellbeing",0.8728
RT3,2015,Condition Appearance and Maintenance,0.861
RT3,2015,Dementia,0.6543
RT3,2015,Disability,
REF,2015,Cleanliness,0.9631
REF,2015,Food,0.8312
REF,2015,Organisation Food,
REF,2015,Ward Food,
REF,2015,"Privacy, Dignity and Wellbeing",0.8063
REF,2015,Condition Appearance and Maintenance,0.7956
REF,2015,Dementia,0.7009
REF,2015,Disability,
RH8,2015,Cleanliness,0.975
RH8,2015,Food,0.8806
RH8,2015,Organisation Food,
RH8,2015,Ward Food,
RH8,2015,"Privacy, Dignity and Wellbeing",0.896
RH8,2015,Condition Appearance and Maintenance,0.9078
RH8,2015,Dementia,0.8297
RH8,2015,Disability,
RAL,2015,Cleanliness,0.9922
RAL,2015,Food,0.8558
RAL,2015,Organisation Food,
RAL,2015,Ward Food,
RAL,2015,"Privacy, Dignity and Wellbeing",0.8421
RAL,2015,Condition Appearance and Maintenance,0.8905
RAL,2015,Dementia,0.7592
RAL,2015,Disability,
RQ6,2015,Cleanliness,0.9962
RQ6,2015,Food,0.9327
RQ6,2015,Organisation Food,
RQ6,2015,Ward Food,
RQ6,2015,"Privacy, Dignity and Wellbeing",0.8821
RQ6,2015,Condition Appearance and Maintenance,0.9787
RQ6,2015,Dementia,0.8332
RQ6,2015,Disability,
RAN,2015,Cleanliness,0.9657
RAN,2015,Food,0.839
RAN,2015,Organisation Food,
RAN,2015,Ward Food,
RAN,2015,"Privacy, Dignity and Wellbeing",0.812
RAN,2015,Condition Appearance and Maintenance,0.8272
RAN,2015,Dementia,0.6129
RAN,2015,Disability,
RRJ,2015,Cleanliness,0.9748
RRJ,2015,Food,0.9557
RRJ,2015,Organisation Food,
RRJ,2015,Ward Food,
RRJ,2015,"Privacy, Dignity and Wellbeing",0.845
RRJ,2015,Condition Appearance and Maintenance,0.959
RRJ,2015,Dementia,0.92
RRJ,2015,Disability,
RA2,2015,Cleanliness,0.9972
RA2,2015,Food,0.9224
RA2,2015,Organisation Food,
RA2,2015,Ward Food,
RA2,2015,"Privacy, Dignity and Wellbeing",0.8697
RA2,2015,Condition Appearance and Maintenance,0.9515
RA2,2015,Dementia,0.9204
RA2,2015,Disability,
RD1,2015,Cleanliness,0.975
RD1,2015,Food,0.9403
RD1,2015,Organisation Food,
RD1,2015,Ward Food,
RD1,2015,"Privacy, Dignity and Wellbeing",0.8246
RD1,2015,Condition Appearance and Maintenance,0.803
RD1,2015,Dementia,0.5288
RD1,2015,Disability,
RM3,2015,Cleanliness,0.9948
RM3,2015,Food,0.9102
RM3,2015,Organisation Food,
RM3,2015,Ward Food,
RM3,2015,"Privacy, Dignity and Wellbeing",0.9256
RM3,2015,Condition Appearance and Maintenance,0.9828
RM3,2015,Dementia,0.8586
RM3,2015,Disability,
RNZ,2015,Cleanliness,0.993
RNZ,2015,Food,0.9457
RNZ,2015,Organisation Food,
RNZ,2015,Ward Food,
RNZ,2015,"Privacy, Dignity and Wellbeing",0.8947
RNZ,2015,Condition Appearance and Maintenance,0.9531
RNZ,2015,Dementia,0.8466
RNZ,2015,Disability,
RXK,2015,Cleanliness,0.9839
RXK,2015,Food,0.9319
RXK,2015,Organisation Food,
RXK,2015,Ward Food,
RXK,2015,"Privacy, Dignity and Wellbeing",0.9196
RXK,2015,Condition Appearance and Maintenance,0.9787
RXK,2015,Dementia,0.909
RXK,2015,Disability,
RCU,2015,Cleanliness,0.9931
RCU,2015,Food,0.8487
RCU,2015,Organisation Food,
RCU,2015,Ward Food,
RCU,2015,"Privacy, Dignity and Wellbeing",0.8333
RCU,2015,Condition Appearance and Maintenance,0.9765
RCU,2015,Dementia,
RCU,2015,Disability,
RHQ,2015,Cleanliness,0.99
RHQ,2015,Food,0.8891
RHQ,2015,Organisation Food,
RHQ,2015,Ward Food,
RHQ,2015,"Privacy, Dignity and Wellbeing",0.8697
RHQ,2015,Condition Appearance and Maintenance,0.8588
RHQ,2015,Dementia,0.583
RHQ,2015,Disability,
RK5,2015,Cleanliness,0.998
RK5,2015,Food,0.9116
RK5,2015,Organisation Food,
RK5,2015,Ward Food,
RK5,2015,"Privacy, Dignity and Wellbeing",0.8878
RK5,2015,Condition Appearance and Maintenance,0.9606
RK5,2015,Dementia,0.7292
RK5,2015,Disability,
RXW,2015,Cleanliness,0.9887
RXW,2015,Food,0.8782
RXW,2015,Organisation Food,
RXW,2015,Ward Food,
RXW,2015,"Privacy, Dignity and Wellbeing",0.7615
RXW,2015,Condition Appearance and Maintenance,0.8103
RXW,2015,Dementia,0.5094
RXW,2015,Disability,
R1D,2015,Cleanliness,0.9981
R1D,2015,Food,0.8784
R1D,2015,Organisation Food,
R1D,2015,Ward Food,
R1D,2015,"Privacy, Dignity and Wellbeing",0.8691
R1D,2015,Condition Appearance and Maintenance,0.946
R1D,2015,Dementia,0.8327
R1D,2015,Disability,
R1C,2015,Cleanliness,0.9779
R1C,2015,Food,0.9824
R1C,2015,Organisation Food,
R1C,2015,Ward Food,
R1C,2015,"Privacy, Dignity and Wellbeing",0.9153
R1C,2015,Condition Appearance and Maintenance,0.9399
R1C,2015,Dementia,0.9169
R1C,2015,Disability,
RH5,2015,Cleanliness,0.9989
RH5,2015,Food,0.9082
RH5,2015,Organisation Food,
RH5,2015,Ward Food,
RH5,2015,"Privacy, Dignity and Wellbeing",0.927
RH5,2015,Condition Appearance and Maintenance,0.9672
RH5,2015,Dementia,0.943
RH5,2015,Disability,
RWN,2015,Cleanliness,0.9974
RWN,2015,Food,0.8914
RWN,2015,Organisation Food,
RWN,2015,Ward Food,
RWN,2015,"Privacy, Dignity and Wellbeing",0.9284
RWN,2015,Condition Appearance and Maintenance,0.9588
RWN,2015,Dementia,0.9342
RWN,2015,Disability,
RV5,2015,Cleanliness,0.995
RV5,2015,Food,0.9058
RV5,2015,Organisation Food,
RV5,2015,Ward Food,
RV5,2015,"Privacy, Dignity and Wellbeing",0.9449
RV5,2015,Condition Appearance and Maintenance,0.9623
RV5,2015,Dementia,0.9838
RV5,2015,Disability,
RRE,2015,Cleanliness,0.9698
RRE,2015,Food,0.9288
RRE,2015,Organisation Food,
RRE,2015,Ward Food,
RRE,2015,"Privacy, Dignity and Wellbeing",0.9457
RRE,2015,Condition Appearance and Maintenance,0.9526
RRE,2015,Dementia,0.902
RRE,2015,Disability,
RTR,2015,Cleanliness,0.9859
RTR,2015,Food,0.8523
RTR,2015,Organisation Food,
RTR,2015,Ward Food,
RTR,2015,"Privacy, Dignity and Wellbeing",0.8307
RTR,2015,Condition Appearance and Maintenance,0.9319
RTR,2015,Dementia,0.7269
RTR,2015,Disability,
RE9,2015,Cleanliness,0.9511
RE9,2015,Food,0.8874
RE9,2015,Organisation Food,
RE9,2015,Ward Food,
RE9,2015,"Privacy, Dignity and Wellbeing",0.8353
RE9,2015,Condition Appearance and Maintenance,0.8668
RE9,2015,Dementia,0.7315
RE9,2015,Disability,
RJC,2015,Cleanliness,0.9805
RJC,2015,Food,0.8253
RJC,2015,Organisation Food,
RJC,2015,Ward Food,
RJC,2015,"Privacy, Dignity and Wellbeing",0.7995
RJC,2015,Condition Appearance and Maintenance,0.8862
RJC,2015,Dementia,0.7492
RJC,2015,Disability,
RQY,2015,Cleanliness,0.9745
RQY,2015,Food,0.8652
RQY,2015,Organisation Food,
RQY,2015,Ward Food,
RQY,2015,"Privacy, Dignity and Wellbeing",0.923
RQY,2015,Condition Appearance and Maintenance,0.8823
RQY,2015,Dementia,0.8283
RQY,2015,Disability,
RXG,2015,Cleanliness,1
RXG,2015,Food,0.9805
RXG,2015,Organisation Food,
RXG,2015,Ward Food,
RXG,2015,"Privacy, Dignity and Wellbeing",0.9489
RXG,2015,Condition Appearance and Maintenance,0.9983
RXG,2015,Dementia,0.9828
RXG,2015,Disability,
RAJ,2015,Cleanliness,0.9066
RAJ,2015,Food,0.8287
RAJ,2015,Organisation Food,
RAJ,2015,Ward Food,
